DamFunctTbl_multiplier,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Costs,Flood damage (Milj. Euro),Number of casualties
-0.07506014601995696,-0.05318778462999438,0.04436890660886442,0.03699537737347525,3,1.4208642224428387,0.0215355452572005,moreNature,waasmodel,RfR Small Scale,0.0,12812.0,538.4818899999998
0.06358095943709896,-0.09894908507177205,0.08592645089552425,0.07527236539792756,12,1.598713734974614,-0.032748295679383865,urbanizationDeurbanization,waasmodel,RfR Small Scale,0.0,29494.0,829.1293300000002
-0.03685979425038322,0.003963472420933867,0.010445140262335869,-0.049076689639715926,23,1.2897519765256698,-0.0031446841393786285,NoChange,waasmodel,RfR Small Scale,0.0,35544.0,787.1848899999999
0.09032690979833219,0.013101926752083591,-0.016369193708336102,-0.08873942590621527,24,1.2120030999195468,0.09828710454883738,urbanizationLargeAndFast,waasmodel,RfR Small Scale,0.0,53948.0,841.9082000000002
0.07888999965754936,0.06636774573882631,-0.0755413661038047,-0.018948408260286858,5,1.3542853442785658,0.042422440268425454,urbanizationLargeSteady,waasmodel,RfR Small Scale,0.0,17397.0,398.3604
-0.04082004339312917,0.026522773690476287,0.00020312481288967119,0.08974987977421262,9,1.3282176594197772,-0.009274009662719336,urbanizationLargeSteady,waasmodel,RfR Small Scale,0.0,17971.0,369.10900000000004
0.060975808716812165,0.038862259919077935,0.03983270999019645,-0.002505514134238565,25,1.201566210309978,-0.022383027430067277,urbanizationLargeSteady,waasmodel,RfR Small Scale,0.0,36780.0,807.9362
0.0761334583957379,0.09420456244747966,0.0564938763230419,-0.04057425187456224,22,1.2042072900731382,0.07171340297756024,sustainableGrowth,waasmodel,RfR Small Scale,0.0,53924.0,1148.97493
0.058368135974519786,-0.06057882536078256,-0.06874050722858324,-0.014838114221258927,29,1.5952680661278469,-0.04574656856682361,urbanizationLargeAndFast,waasmodel,RfR Small Scale,0.0,39051.0,857.3824999999998
-0.031166605638488706,-0.09879784558468761,-0.08253570544283302,0.0286717639938574,25,1.1579076599681295,0.07958913418474986,sustainableGrowth,waasmodel,RfR Small Scale,0.0,33262.0,644.9123
-0.0641627402422178,-0.03334064913272593,-0.06690346609981201,0.09666926640966096,11,1.3455178311916625,0.03527175298283891,NoChange,waasmodel,RfR Small Scale,0.0,10984.0,368.8979
-0.0473031426573223,-0.05566760564561695,-0.0016356610001106858,0.036796744469561486,21,1.2496952470493006,0.05531281123622306,sustainableGrowth,waasmodel,RfR Small Scale,0.0,36266.0,947.7407
0.0020898920299071283,0.01532260421876046,0.053827703839684216,0.08250853456210724,9,1.4146258329126833,-0.04388163840863942,urbanizationDeurbanization,waasmodel,RfR Small Scale,0.0,18718.0,335.6743
0.025970285970533247,-0.0930269375874324,0.06504893592787994,0.014555228836452244,14,1.1022554324353158,-0.06019559495801927,moreNature,waasmodel,RfR Small Scale,0.0,22572.0,837.83808
-0.07029157588910713,-0.07872915829043454,-0.02013468052437317,0.03795257568281792,2,1.3996810017940875,0.06989517167711687,sustainableGrowth,waasmodel,RfR Small Scale,0.0,19684.0,465.2843
-0.027146700939560883,-0.08550855658705618,0.0775107250224125,-0.07356377071685502,12,1.3375622674264738,-0.006120329674686009,moreNature,waasmodel,RfR Small Scale,0.0,20589.0,543.47275
-0.08885210992646536,-0.06830398681946297,0.02275729188569571,-0.05361417920906091,29,1.4556616634964634,-0.06870706552409739,Deurbanization,waasmodel,RfR Small Scale,0.0,17301.0,313.33051
0.05011807465305382,-0.05279398309780231,-0.019556900778121004,-0.04259547417417848,28,1.062482544650122,0.039113113380807966,Deurbanization,waasmodel,RfR Small Scale,0.0,28403.0,462.06636
-0.0022435716000428767,-0.04009645634014012,-0.06798809887861867,-0.04533825084582584,9,1.1879092382459435,0.0013112002864662795,urbanizationDeurbanization,waasmodel,RfR Small Scale,0.0,18665.0,335.6743
-0.021651555466805056,-0.04834280092689228,-0.0006574661961271377,0.029478551784039294,12,1.5011770010524548,-0.06638586580398242,urbanizationLargeSteady,waasmodel,RfR Small Scale,0.0,30859.0,969.18543
