DamFunctTbl,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Costs,Flood damage (Milj. Euro),Number of casualties
0.045909392275832885,0.06257316934980031,-0.005183598635237235,0.08676052832364081,12,1.1266536611355014,0.06493373563004425,urbanizationDeurbanization,waas,no policy,0.0,1950.0,15.6975
-0.004316814376005229,0.05557261884470754,-0.03636247869451882,-0.002504436991914744,23,1.0374416893747078,-0.04986725870056663,urbanizationLargeSteady,waas,no policy,0.0,5807.0,46.2419
0.00398175867502712,0.05785206668547,-0.021118003634261282,-0.0013148485489545005,28,1.4089281858100149,-0.04514081872370514,urbanizationLargeSteady,waas,no policy,0.0,2778.0,23.1293
0.025072292334494428,0.07011367291467141,-0.05809227006716109,-0.005298482209652553,14,1.445073830042534,0.06690439978963242,urbanizationLargeSteady,waas,no policy,0.0,0.0,0.0
0.015425853168976515,0.03142830470266472,-0.051852496615002505,-0.040391922168284605,28,1.0536651683927158,-0.09192457490772114,urbanizationLargeAndFast,waas,no policy,0.0,2811.0,23.454
0.0232504389168586,-0.027240919473787248,-0.027224601329692046,0.01825958879702509,17,1.309477623759592,0.09049598473348552,urbanizationLargeAndFast,waas,no policy,0.0,2759.0,23.45
-0.05802853783383185,0.0244866088277248,0.07572754893986745,-0.049390670625860236,26,1.4848156116855278,0.06628913588894289,NoChange,waas,no policy,0.0,1220.0,8.88
0.01488908889123759,0.07252715521335681,0.07100528297124162,-0.025341654251018392,9,1.1196845926355965,0.00967481754154953,Deurbanization,waas,no policy,0.0,0.0,0.0
0.0517838449765072,0.04185323301431815,0.07006158474707873,0.05874248852634864,30,1.34996856601157,-0.02006639925156916,Deurbanization,waas,no policy,0.0,0.0,0.0
0.047558711289908656,-0.05994483614938104,0.018489087056975315,0.0580636180440359,25,1.554245529583636,-0.02832629715283028,urbanizationDeurbanization,waas,no policy,0.0,0.0,0.0
0.01839869386810511,-0.09382268337908091,-0.0861010853063137,-0.041358529989656535,12,1.3919994458711755,-0.0011979488226822321,Deurbanization,waas,no policy,0.0,993.0,6.16
0.05701199483341542,-0.09345680961895056,-0.05324944339049032,0.07530834419138163,3,1.1166344971396942,-0.08556038681610904,Deurbanization,waas,no policy,0.0,1025.0,6.1639
0.05482942360752612,0.03245220314230707,-0.07592047362440256,-0.07406998004382097,1,1.321665581893929,0.0008778785946285393,moreNature,waas,no policy,0.0,0.0,0.0
0.04758894205411208,-0.08763190915258577,-0.0018649548094229753,0.07683401735653003,23,1.5367070076939664,-0.04120579065774737,sustainableGrowth,waas,no policy,0.0,4377.0,34.4019
-0.0969665457296004,-0.06841868193635123,0.04536232132221072,-0.04684375762604851,19,1.577075078795934,0.09029033933982922,Deurbanization,waas,no policy,0.0,0.0,0.0
-0.012198852925882034,0.08363656767094915,-0.028039046703531897,0.06614896947862817,17,1.0754204093354822,-0.07965828693766322,urbanizationDeurbanization,waas,no policy,0.0,1920.0,15.8433
-0.0946799920941482,-0.0930667766988752,-0.0549296253119224,0.08089716503346953,2,1.1475934422001275,0.06059621713278799,Deurbanization,waas,no policy,0.0,0.0,0.0
-0.023691666128220504,-0.015687289337516203,-0.08089496307054161,0.04766322680444238,25,1.2127801891750896,0.04474797229965896,sustainableGrowth,waas,no policy,0.0,0.0,0.0
